1.749526033089277455e+00,1.203663573700004541e+00,9.727389671197869125e-01,2.550476191079894761e+00
1.904703895295146943e+00,1.244380140578795979e+00,6.758280647210337388e-01,4.353756321565784404e+00
1.954845918660649051e+00,1.249705123320721700e+00,1.162673258606744753e+00,2.794467236584527559e+00
2.218783495341126510e+00,1.199704779488147688e+00,9.417216913485217944e-01,4.347050538517573059e+00
2.567279223356837115e+00,1.012703434061610341e+00,1.337519451637815493e+00,3.835393932723445420e+00
2.156683665438102526e+00,1.258782258925864594e+00,1.144583197591698465e+00,5.504132232205154018e+00
2.692497536394184543e+00,1.178637386943027332e+00,1.010366099179676347e+00,6.084235838890830195e+00
4.053377248528803101e+00,1.105530308408654072e+00,3.369328729047489368e+00,4.371726294192285422e+00
3.514300764365878127e+00,1.260901031361063351e+00,2.733605210726220758e+00,8.642657056858954689e+00
1.046169245619541721e+00,1.475662054928891465e+00,1.004155399986198516e+00,1.002358329985853835e+00
-9.636083904514256560e-01,1.279904062555948352e+00,2.472455468560786684e+00,1.045146429250752407e+00
